"Firmenname ","Branche","Branche","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"Sparkasse Baden","Finanzinstitut","Hauptplatz 15","2500","Baden bei Wien",,,,,,,
"Sparkasse Hainburg-Bruck-Neusiedl Aktiengesellschaft","Finanzinstitut","Hauptpl. 1","2410","Hainburg an der Donau",,,,,,,
"Sparkasse Haugsdorf","Finanzinstitut","Hauptplatz 1","2054","Haugsdorf",,,,,,,
"Sparkasse Horn-Ravelsbach-Kirchberg Aktiengesellschaft","Finanzinstitut","Kirchenplatz 12","3580","Horn",,,,,,,
"Sparkasse Korneuburg AG","Finanzinstitut","Sparkassenplatz 1","2100","Korneuburg",,,,,,,
"KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT","Finanzinstitut","Ringstraße 5-7","3500","Krems an der Donau",,,,,,,
"Sparkasse Langenlois","Finanzinstitut","Kornplatz 2a","3550","Langenlois",,,,,,,
"Sparkasse Neunkirchen","Finanzinstitut","Hauptplatz 2","2620","Neunkirchen/ NÖ",,,,,,,
"Sparkasse Pottenstein N.Ö.","Finanzinstitut","Hauptplatz 5","2563","Pottenstein a.d. Triesting",,,,,,,
"Sparkasse Poysdorf AG","Finanzinstitut","Dreifaltigkeitsplatz 2","2170","Poysdorf",,,,,,,
"SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT","Finanzinstitut","Domgasse 5","3100","St.Pölten",,,,,,,
"Sparkasse Scheibbs AG","Finanzinstitut","Hauptstraße 9","3270","Scheibbs",,,,,,,
"Wiener Neustädter Sparkasse","Finanzinstitut","Neunkirchnerstraße 4","2700","Wiener Neustadt",,,,,,,
"Waldviertler Sparkasse Bank AG","Finanzinstitut","Sparkassenplatz 3","3910","Zwettl/NÖ",,,,,,,
"SPARKASSE FRANKENMARKT AKTIENGESELLSCHAFT","Finanzinstitut","Hauptstraße 94","4890","Frankenmarkt",,,,,,,
"Sparkasse Salzkammergut AG","Finanzinstitut","Sparkassenplatz 1","4820","Bad Ischl",,,,,,,
"Sparkasse Lambach Bank Aktiengesellschaft","Finanzinstitut","Klosterpl. 3","4650","Lambach",,,,,,,
"Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft","Finanzinstitut","Promenade 11-13","4020","Linz",,,,,,,
"Sparkasse Neuhofen Bank Aktiengesellschaft","Finanzinstitut","Marktplatz 18","4501","Neuhofen an der Krems",,,,,,,
"Sparkasse Eferding-Peuerbach-Waizenkirchen","Finanzinstitut","Stadtplatz 1","4070","Eferding",,,,,,,
"Sparkasse Pregarten - Unterweißenbach AG","Finanzinstitut","Stadtplatz 19","4230","Pregarten",,,,,,,
"Sparkasse Ried im Innkreis-Haag am Hausruck","Finanzinstitut","Marktplatz 2","4910","Ried/Innkreis",,,,,,,
"Sparkasse Mühlviertel-West Bank Aktiengesellschaft","Finanzinstitut","Stadtplatz 24","4150","Rohrbach-Berg",,,,,,,
"Sparkasse Mittersill Bank AG","Finanzinstitut","Stadtplatz 4","5730","Mittersill",,,,,,,
"Salzburger Sparkasse Bank Aktiengesellschaft","Finanzinstitut","Alter Markt 3","5020","Salzburg",,,,,,,
"Sparkasse Imst AG","Finanzinstitut","Sparkassenplatz 1","6460","Imst",,,,,,,
"Tiroler Sparkasse Bankaktiengesellschaft Innsbruck","Finanzinstitut","Sparkassenplatz 1","6010","Innsbruck",,,,,,,
"Sparkasse der Stadt Kitzbühel","Finanzinstitut","Bahnhofstraße 6","6370","Kitzbühel",,,,,,,
"Sparkasse Kufstein Tiroler Sparkasse von 1877","Finanzinstitut","Oberer Stadtplatz 1","6330","Kufstein",,,,,,,
"Lienzer Sparkasse AG","Finanzinstitut","Johannesplatz 6","9900","Lienz",,,,,,,
"Sparkasse Rattenberg Bank AG","Finanzinstitut","Sparkassenplatz 69","6240","Rattenberg",,,,,,,
"Sparkasse Reutte AG","Finanzinstitut","Obermarkt 51","6600","Reutte",,,,,,,
"Sparkasse Schwaz AG","Finanzinstitut","Franz-Josef-Straße 8-10","6130","Schwaz",,,,,,,
"Sparkasse Bregenz Bank Aktiengesellschaft","Finanzinstitut","Sparkassenplatz 1","6900","Bregenz",,,,,,,
"Dornbirner Sparkasse Bank AG","Finanzinstitut","Bahnhofstraße 2","6850","Dornbirn",,,,,,,
"Sparkasse der Gemeinde Egg","Finanzinstitut","Loco 873","6863","Egg/Vbg.",,,,,,,
"Sparkasse der Stadt Feldkirch","Finanzinstitut","Sparkassenplatz 1","6800","Feldkirch",,,,,,,
"Sparkasse Bludenz Bank AG","Finanzinstitut","Sparkassenplatz 1","6700","Bludenz",,,,,,,
"Sparkasse Feldkirchen/Kärnten","Finanzinstitut","Sparkassenstraße 1 a","9560","Feldkirchen (Ktn.)",,,,,,,
"Kärntner Sparkasse Aktiengesellschaft","Finanzinstitut","Neuer Platz  14","9020","Klagenfurt",,,,,,,
"Steiermärkische Bank und Sparkassen Aktiengesellschaft","Finanzinstitut","Sparkassenplatz 4","8010","Graz",,,,,,,
"Sparkasse Mürzzuschlag Aktiengesellschaft","Finanzinstitut","Wiener Straße 78","8680","Mürzzuschlag",,,,,,,
"Sparkasse Pöllau AG","Finanzinstitut","Hauptplatz 2","8225","Pöllau",,,,,,,
"Sparkasse Voitsberg-Köflach Bankaktiengesellschaft","Finanzinstitut","Bahnhofstraße 2","8570","Voitsberg",,,,,,,
"Bausparkasse der österreichischen Sparkassen Aktiengesellschaft","Finanzinstitut","Am Belvedere 1","1100","Wien",,,,,,,
"Raiffeisen Bank International AG","Finanzinstitut","Am Stadtpark 9","1030","Wien",,,,,,,
"ZUNO BANK AG","Finanzinstitut","Vordere Zollamtsstraße 13/3.OG Top D","1030","Wien",,,,,,,
"Raiffeisen Bausparkasse Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12","1190","Wien",,,,,,,
"Raiffeisen-Leasing Bank Aktiengesellschaft","Finanzinstitut","Mooslackengasse 12","1190","Wien",,,,,,,
"RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG","Finanzinstitut","Friedrich-Wilhelm-Raiffeisenplatz 1","1020","Wien",,,,,,,
"Raiffeisenbank Region Wagram eGen","Finanzinstitut","Bahnhofstraße 25","3462","Absdorf",,,,,,,
"Raiffeisenbank Region Amstetten eGen","Finanzinstitut","Raiffeisenplatz 1","3300","Amstetten",,,,,,,
"Raiffeisenbank im Mostviertel Aschbach eGen","Finanzinstitut","Mittlerer Markt 28","3361","Aschbach Markt",,,,,,,
"Raiffeisenbank Auersthal-Bockfließ-Groß Schweinbarth eGen","Finanzinstitut","Hauptstr. 78","2214","Auersthal",,,,,,,
"Raiffeisenbank Region Baden eGen","Finanzinstitut","Raiffeisenplatz 1","2500","Baden bei Wien",,,,,,,
"Raiffeisenkasse Blindenmarkt eGen","Finanzinstitut","Hauptstraße 40","3372","Blindenmarkt",,,,,,,
"Raiffeisenbank Bruck-Carnuntum eGen","Finanzinstitut","Raiffeisenplatz 1","2460","Bruck an der Leitha",,,,,,,
"Raiffeisen-Regionalbank Gänserndorf eGen","Finanzinstitut","Bahnstraße 8","2230","Gänserndorf",,,,,,,
"Raiffeisenkasse Dobersberg-Waldkirchen eGen","Finanzinstitut","Hauptplatz 20","3843","Dobersberg",,,,,,,
"Raiffeisenbank Eggenburg eGen","Finanzinstitut","Hauptplatz 24-26","3730","Eggenburg",,,,,,,
"Raiffeisenbank Thayatal-Mitte eGen","Finanzinstitut","Hauptplatz 11","3820","Raabs an der Thaya",,,,,,,
"Raiffeisenkasse Ernstbrunn eGen","Finanzinstitut","Hauptpl. 11","2115","Ernstbrunn",,,,,,,
"Raiffeisenbank NÖ-Süd Alpin eGen","Finanzinstitut","Bahnstraße 3","2870","Aspang",,,,,,,
"Raiffeisenbank Bernhardsthal - Großkrut - Altlichtenwarth eGen","Finanzinstitut","Poysdorferstr. 3a","2143","Großkrut",,,,,,,
"Raiffeisenkasse Großweikersdorf-Wiesendorf-Ruppersthal eGen","Finanzinstitut","Wiener Straße 3","3701","Großweikersdorf",,,,,,,
"Raiffeisenkasse Günselsdorf eGen","Finanzinstitut","Anton Rauch-Straße 1","2525","Günselsdorf",,,,,,,
"Raiffeisen Regionalbank Mödling eGen","Finanzinstitut","Hauptstraße 27-29","2340","Mödling",,,,,,,
"Raiffeisenbank Seefeld-Hadres eGen","Finanzinstitut","Hauptplatz 103","2061","Hadres",,,,,,,
"Raiffeisenkasse Haidershofen eGen","Finanzinstitut","Haidershofen 100","4431","Haidershofen",,,,,,,
"Raiffeisenkasse Heiligeneich eGen","Finanzinstitut","Raiffeisenplatz 1","3452","Heiligeneich",,,,,,,
"Raiffeisenbank Hollabrunn eGen","Finanzinstitut","Raiffeisenplatz 1","2020","Hollabrunn",,,,,,,
"Raiffeisenbank Klosterneuburg eGen","Finanzinstitut","Rathauspl. 7","3400","Klosterneuburg",,,,,,,
"Raiffeisenkasse Kirchschlag in der Buckligen Welt eGen","Finanzinstitut","Wiener Straße 13","2860","Kirchschlag in d.Buckl.Welt",,,,,,,
"Raiffeisenbank Korneuburg eGen","Finanzinstitut","Stockerauer Straße 94","2100","Korneuburg",,,,,,,
"Raiffeisenbank Krems eGen","Finanzinstitut","Dreifaltigkeitsplatz 8","3500","Krems an der Donau",,,,,,,
"Raiffeisenbank Laa/Thaya eGen","Finanzinstitut","Stadtplatz 56","2136","Laa a.d. Thaya",,,,,,,
"Raiffeisenbank Oberes Waldviertel eGen","Finanzinstitut","Hauptplatz 22","3943","Schrems",,,,,,,
"Raiffeisenbank Langenlois eGen","Finanzinstitut","Kornplatz 9","3550","Langenlois",,,,,,,
"Raiffeisenbank Kreuzenstein eGen","Finanzinstitut","Stockerauerstr. 8-10","2100","Leobendorf",,,,,,,
"Raiffeisenbank Traisen-Gölsental eGen","Finanzinstitut","Babenbergerstraße 5","3180","Lilienfeld",,,,,,,
"Raiffeisenbank Region Schallaburg eGen","Finanzinstitut","Linzer Straße 6","3382","Loosdorf/ Bez. Melk",,,,,,,
"Raiffeisenbank Michelhausen eGen","Finanzinstitut","Tullner Straße 23","3451","Michelhausen",,,,,,,
"Raiffeisenbank im Weinviertel eGen","Finanzinstitut","Hauptpl. 37","2130","Mistelbach",,,,,,,
"Raiffeisenkasse Neusiedl a.d.Zaya eGen","Finanzinstitut","Hauptpl. 3","2183","Neusiedl an der Zaya",,,,,,,
"Raiffeisenbank Region St. Pölten eGen","Finanzinstitut","Europaplatz 7","3100","St. Pölten",,,,,,,
"Raiffeisenbank Gross Gerungs eGen","Finanzinstitut","Hauptplatz 47","3920","Groß Gerungs",,,,,,,
"Raiffeisenkasse Orth a.d. Donau eGen","Finanzinstitut","Am Markt 21","2304","Orth/Donau",,,,,,,
"Raiffeisenbank Ottenschlag-Martinsberg eGen","Finanzinstitut","Oberer Markt 6","3631","Ottenschlag",,,,,,,
"Raiffeisenbank Piestingtal eGen","Finanzinstitut","Marktplatz 8","2753","Piesting (NÖ)",,,,,,,
"Raiffeisenbank Pittental/Bucklige Welt eGen","Finanzinstitut","Raiffeisen-Promenade 201","2823","Pitten",,,,,,,
"Raiffeisenkasse Pottschach registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Pottschacher Straße 8","2630","Ternitz",,,,,,,
"Raiffeisenkasse Poysdorf eGen","Finanzinstitut","Oberer Markt 1","2170","Poysdorf",,,,,,,
"Raiffeisenbank Wienerwald eGen","Finanzinstitut","Hauptstraße 62","3021","Pressbaum",,,,,,,
"Raiffeisenkasse Retz-Pulkautal registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 33","2070","Retz",,,,,,,
"Raiffeisenbank Herzogenburg-Kapelln eGen","Finanzinstitut","Kremser Straße 12","3130","Herzogenburg",,,,,,,
"Raiffeisenbank Region Schwechat eGen","Finanzinstitut","Bruck-Hainburger Str. 5","2320","Schwechat",,,,,,,
"Raiffeisenbank Stockerau eGen","Finanzinstitut","Rathausplatz 2","2000","Stockerau",,,,,,,
"Raiffeisenbank Neunkirchen - Schwarzatal-Mitte eGen","Finanzinstitut","Raiffeisenstraße 2","2620","Neunkirchen/ NÖ",,,,,,,
"Raiffeisenbank Tulln eGen","Finanzinstitut","Bahnhofstraße 9","3430","Tulln",,,,,,,
"Raiffeisenbank Vitis eGen","Finanzinstitut","Hauptplatz 30","3902","Vitis",,,,,,,
"Raiffeisenbank Waidhofen a. d. Thaya eGen","Finanzinstitut","Raiffeisenpromenade 1","3830","Waidhofen an der Thaya",,,,,,,
"Raiffeisenbank Ybbstal eGen","Finanzinstitut","Oberer Stadtplatz 22","3340","Waidhofen an der Ybbs",,,,,,,
"Raiffeisenbank Oberes Triestingtal eGen","Finanzinstitut","Hauptstraße 9","2564","Weissenbach/T.",,,,,,,
"Raiffeisenregionalbank Wiener Neustadt eGen","Finanzinstitut","Hauptplatz 28","2700","Wiener Neustadt",,,,,,,
"Raiffeisenbank Mittleres Mostviertel eGen","Finanzinstitut","Scheibbser Straße 4","3250","Wieselburg/Erl.",,,,,,,
"Raiffeisenkasse Wiesmath-Hochwolkersdorf eGen","Finanzinstitut","Hauptstraße 12","2811","Wiesmath",,,,,,,
"Raiffeisenbank Wolkersdorf eGen","Finanzinstitut","Hauptstr. 5","2120","Wolkersdorf",,,,,,,
"Raiffeisenkasse Ziersdorf registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptplatz 5","3710","Ziersdorf",,,,,,,
"Raiffeisenkasse Zistersdorf - Dürnkrut registrierte Genossenschaft mit beschränkter Haftung","Finanzinstitut","Hauptstr. 39","2225","Zistersdorf",,,,,,,
"Raiffeisenbank Region Waldviertel Mitte eGen","Finanzinstitut","Landstraße 23, Postfach 10","3910","Zwettl",,,,,,,
"Raiffeisenlandesbank Burgenland und Revisionsverband eGen","Finanzinstitut","Raiffeisenstraße 1","7000","Eisenstadt",,,,,,,
"Raiffeisenbank Seewinkel-Hansag eGen","Finanzinstitut","Höchtlgasse 6","7163","Andau",,,,,,,
"Raiffeisenbank Apetlon eGen","Finanzinstitut","Kirchengasse 1","7143","Apetlon",,,,,,,
"Raiffeisenbank Mittelburgenland Ost eGen","Finanzinstitut","Hauptstraße 49","7301","Deutschkreutz",,,,,,,
"Raiffeisenbank Neusiedlersee-Hügelland eGen","Finanzinstitut","Hauptstraße 39","7082","Donnerskirchen",,,,,,,
"Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin eGen","Finanzinstitut","Hauptstraße 29","7372","Draßmarkt",,,,,,,
"Raiffeisenbezirksbank Güssing eGen","Finanzinstitut","Hauptstraße 3","7540","Güssing",,,,,,,
"Raiffeisenbank Horitschon und Umgebung eGen","Finanzinstitut","Günser Straße 28","7312","Horitschon",,,,,,,
"Raiffeisenbank Illmitz eGen","Finanzinstitut","Hauptplatz 4","7142","Illmitz",,,,,,,
"Raiffeisenbezirksbank Jennersdorf eGen","Finanzinstitut","Hauptstraße 11","8380","Jennersdorf",,,,,,,
"Raiffeisenbank Dreiländereck Bgld-Nord eGen","Finanzinstitut","Untere Hauptstrasse 36","2425","Nickelsdorf/L.",,,,,,,
"Raiffeisenbank Königsdorf eGen","Finanzinstitut","Bachstraße 8","7563","Königsdorf (Bgld.)",,,,,,,
"Raiffeisenbank Lutzmannsburg - Frankenau eGen","Finanzinstitut","Hauptstr. 25","7361","Lutzmannsburg",,,,,,,
"Raiffeisenbank Mönchhof eGen","Finanzinstitut","Raiffeisenplatz 1","7123","Mönchhof",,,,,,,
"Raiffeisenbank Mörbisch am See eGen","Finanzinstitut","Hauptstraße 4","7072","Mörbisch am See",,,,,,,
"Raiffeisenbank Neckenmarkt eGen","Finanzinstitut","Herrengasse 11","7311","Neckenmarkt",,,,,,,
"Raiffeisenbezirksbank Oberpullendorf eGen","Finanzinstitut","Hauptstraße 34","7350","Oberpullendorf",,,,,,,
"Raiffeisenbank Pamhagen eGen","Finanzinstitut","Kirchenplatz 1","7152","Pamhagen",,,,,,,
"Raiffeisenbank Region Parndorf eGen","Finanzinstitut","Hauptstraße 63","7111","Parndorf",,,,,,,
"Raiffeisenbank Purbach eGen","Finanzinstitut","Hauptgasse 19","7083","Purbach/N.See",,,,,,,
"Raiffeisenbank Freistadt Rust eGen","Finanzinstitut","Rathausplatz 5","7071","Rust (Bgld.)",,,,,,,
"Raiffeisenbank Heideboden eGen","Finanzinstitut","Wiener Straße 3","7161","St. Andrä bei Frauenkirchen",,,,,,,
"Raiffeisenbank Weiden am See eGen","Finanzinstitut","Schulzeile 1","7121","Weiden am See",,,,,,,
"Raiffeisenbank Frauenkirchen-Podersdorf am See eGen","Finanzinstitut","Amtshausgasse 2","7132","Frauenkirchen",,,,,,,
"Raiffeisenbezirksbank Mattersburg eGen","Finanzinstitut","Gustav Degen-Gasse 14-16","7210","Mattersburg",,,,,,,
"Raiffeisenbezirksbank Oberwart eGen","Finanzinstitut","Wiener Straße 5","7400","Oberwart",,,,,,,
"Raiffeisenlandesbank Oberösterreich Aktiengesellschaft","Finanzinstitut","Europaplatz 1a","4020","Linz",,,,,,,
"Raiffeisenbank Aspach-Wildenau eGen","Finanzinstitut","Marktplatz 3","5252","Aspach im Innkreis",,,,,,,
"Raiffeisenbank Region Altheim eGen","Finanzinstitut","Braunauer Straße 22","4950","Altheim",,,,,,,
"Raiffeisenbank Region Braunau eGen","Finanzinstitut","Salzburger Straße 4","5280","Braunau am Inn",,,,,,,
"Raiffeisenbank Grein eGen","Finanzinstitut","Hauptstraße 25","4360","Grein",,,,,,,
"Raiffeisenbank Donau-Ameisberg eGen","Finanzinstitut","Marktplatz 10","4152","Sarleinsbach",,,,,,,
"Raiffeisenbank Ennstal eGen","Finanzinstitut","Kirchenplatz 11","4452","Ternberg",,,,,,,
"Raiffeisenbank Eberschwang eGen","Finanzinstitut","Eberschwang 116","4906","Eberschwang",,,,,,,
"Raiffeisenbank Edt-Lambach eGen","Finanzinstitut","Marktplatz 14","4650","Lambach",,,,,,,
"Raiffeisenbank Feldkirchen-Goldwörth eGen","Finanzinstitut","Hauptstr. 2","4101","Feldkirchen an der Donau",,,,,,,
"Raiffeisenbank Region Freistadt eGen","Finanzinstitut","Linzer Straße 15","4240","Freistadt (OÖ)",,,,,,,
"Raiffeisenbank Region Gallneukirchen eGen","Finanzinstitut","Reichenauerstr. 6-8","4210","Gallneukirchen",,,,,,,
"Raiffeisenbank Gampern eGen","Finanzinstitut","Gampern 70","4851","Gampern",,,,,,,
"Raiffeisenbank Steyr eGen","Finanzinstitut","Stadtplatz 46","4400","Steyr",,,,,,,
"Raiffeisenbank Geretsberg eGen","Finanzinstitut","Geretsberg 3","5132","Geretsberg",,,,,,,
"Raiffeisenbank Großraming eGen","Finanzinstitut","Eisenstraße 25","4463","Großraming",,,,,,,
"Raiffeisenbank Grünau - St. Konrad - Scharnstein eGen","Finanzinstitut","Im Dorf 15","4645","Grünau im Almtal",,,,,,,
"Raiffeisenbank Gunskirchen eGen","Finanzinstitut","Raiffeisenplatz 1","4623","Gunskirchen",,,,,,,
"Raiffeisenbank Gramastetten-Herzogsdorf eGen","Finanzinstitut","Marktstraße 41","4201","Gramastetten",,,,,,,
"Raiffeisenbank Handenberg - St. Georgen a. F. eGen","Finanzinstitut","Baumgartnerstraße 1","5144","Handenberg",,,,,,,
"Raiffeisenbank Helfenberg - St. Stefan a.W. eGen","Finanzinstitut","Leonfeldner Str. 5","4184","Helfenberg",,,,,,,
"Raiffeisenbank Hellmonsödt eGen","Finanzinstitut","Marktpl. 12","4202","Hellmonsödt",,,,,,,
